rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
2783,เที่ยงคืน,2,48,variant,medium,[th/iia/N] | [kh/UU/n],thiangkhuen,teangkeun; teangkheun; teangkhueen; teangkhuen; teangkhuhn; teangkueen; teangkuen; teangkuhn; theangkeun; theangkheun; theangkhueen; theangkhuen; theangkhuhn; theangkueen; theangkuen; theangkuhn; thiangkeun; thiangkheun; thiangkhueen; thiangkhuen; thiangkhuhn; thiangkueen; thiangkuen; thiangkuhn; thiiangkeun; thiiangkheun; thiiangkhueen; thiiangkhuen; thiiangkhuhn; thiiangkueen; thiiangkuen; thiiangkuhn; tiangkeun; tiangkheun; tiangkhueen; tiangkhuen; tiangkhuhn; tiangkueen; tiangkuen; tiangkuhn; tiiangkeun; tiiangkheun; tiiangkhueen; tiiangkhuen; tiiangkhuhn; tiiangkueen; tiiangkuen; tiiangkuhn
2792,นราธิวาส,4,100,compound,hard,[n/a/] | [r/aa/] | [th/i/] | [w/aa/t],narathiwat,nahraathivaad; nahraathivaat; nahraathivad; nahraathivahd; nahraathivaht; nahraathivard; nahraathivart; nahraathivat; nahraathiwaad; nahraathiwaat; nahraathiwad; nahraathiwahd; nahraathiwaht; nahraathiward; nahraathiwart; nahraathiwat; nahraativaad; nahraativaat; nahraativad; nahraativahd; nahraativaht; nahraativard; nahraativart; nahraativat; nahraatiwaad; nahraatiwaat; nahraatiwad; nahraatiwahd; nahraatiwaht; nahraatiward; nahraatiwart; nahraatiwat; nahrahthivaad; nahrahthivaat; nahrahthivad; nahrahthivahd; nahrahthivaht; nahrahthivard; nahrahthivart; nahrahthivat; nahrahthiwaad; nahrahthiwaat; nahrahthiwad; nahrahthiwahd; nahrahthiwaht; nahrahthiward; nahrahthiwart; nahrahthiwat; nahrahtivaad; nahrahtivaat
2906,ภารกิจ,3,96,compound,medium,[ph/aa/] | [r/a/] | [k/i/c],pharakit,paaragid; paaragij; paaragit; paarahgid; paarahgij; paarahgit; paarahkid; paarahkij; paarahkit; paarakid; paarakij; paarakit; pahragid; pahragij; pahragit; pahrahgid; pahrahgij; pahrahgit; pahrahkid; pahrahkij; pahrahkit; pahrakid; pahrakij; pahrakit; paragid; paragij; paragit; parahgid; parahgij; parahgit; parahkid; parahkij; parahkit; parakid; parakij; parakit; parragid; parragij; parragit; parrahgid; parrahgij; parrahgit; parrahkid; parrahkij; parrahkit; parrakid; parrakij; parrakit; phaaragid; phaaragij
2927,ข้อดี,2,24,variant,medium,[kh/OO/] | [d/ii/],khodi,kawdee; kawdi; kawdii; khawdee; khawdi; khawdii; khodee; khodi; khodii; khohdee; khohdi; khohdii; khordee; khordi; khordii; kodee; kodi; kodii; kohdee; kohdi; kohdii; kordee; kordi; kordii
2937,เครือ,1,6,common,medium,[khr/UUa/],khruea,khreua; khruea; khrueaa; kreua; kruea; krueaa
2964,ลาวา,2,32,variant,medium,[l/aa/] | [w/aa/],lawa,laava; laavaa; laavah; laavar; laawa; laawaa; laawah; laawar; lahva; lahvaa; lahvah; lahvar; lahwa; lahwaa; lahwah; lahwar; larva; larvaa; larvah; larvar; larwa; larwaa; larwah; larwar; lava; lavaa; lavah; lavar; lawa; lawaa; lawah; lawar
3071,ภาระ,2,16,variant,medium,[ph/aa/] | [r/a/],phara,paara; paarah; pahra; pahrah; para; parah; parra; parrah; phaara; phaarah; phahra; phahrah; phara; pharah; pharra; pharrah
3079,หรี่,1,3,common,easy,[r/ii/],ri,ree; ri; rii
3098,ค่อยๆ,1,4,common,easy,[kh/Oj/],khoi khoi,khoi; khoii; koi; koii
3125,ปกปิด,2,32,variant,medium,[p/o/k] | [p/i/t],pokpit,bpogbpid; bpogbpit; bpogpid; bpogpit; bpohgbpid; bpohgbpit; bpohgpid; bpohgpit; bpohkbpid; bpohkbpit; bpohkpid; bpohkpit; bpokbpid; bpokbpit; bpokpid; bpokpit; pogbpid; pogbpit; pogpid; pogpit; pohgbpid; pohgbpit; pohgpid; pohgpit; pohkbpid; pohkbpit; pohkpid; pohkpit; pokbpid; pokbpit; pokpid; pokpit
3137,ความคุ้มค่า,3,100,compound,medium,[khw/aa/m] | [kh/u/m] | [kh/aa/],khwamkhumkha,khwaamkhoomka; khwaamkhoomkaa; khwaamkhoomkah; khwaamkhoomkar; khwaamkhoomkha; khwaamkhoomkhaa; khwaamkhoomkhah; khwaamkhoomkhar; khwaamkhumka; khwaamkhumkaa; khwaamkhumkah; khwaamkhumkar; khwaamkhumkha; khwaamkhumkhaa; khwaamkhumkhah; khwaamkhumkhar; khwaamkoomka; khwaamkoomkaa; khwaamkoomkah; khwaamkoomkar; khwaamkoomkha; khwaamkoomkhaa; khwaamkoomkhah; khwaamkoomkhar; khwaamkumka; khwaamkumkaa; khwaamkumkah; khwaamkumkar; khwaamkumkha; khwaamkumkhaa; khwaamkumkhah; khwaamkumkhar; khwahmkhoomka; khwahmkhoomkaa; khwahmkhoomkah; khwahmkhoomkar; khwahmkhoomkha; khwahmkhoomkhaa; khwahmkhoomkhah; khwahmkhoomkhar; khwahmkhumka; khwahmkhumkaa; khwahmkhumkah; khwahmkhumkar; khwahmkhumkha; khwahmkhumkhaa; khwahmkhumkhah; khwahmkhumkhar; khwahmkoomka; khwahmkoomkaa
3144,แซง,1,2,common,easy,[s/xx/N],saeng,saaeng; saeng
3146,ทอดมัน,2,48,variant,medium,[th/OO/t] | [m/a/n],thotman,tawdmahn; tawdman; tawdmun; tawtmahn; tawtman; tawtmun; thawdmahn; thawdman; thawdmun; thawtmahn; thawtman; thawtmun; thodmahn; thodman; thodmun; thohdmahn; thohdman; thohdmun; thohtmahn; thohtman; thohtmun; thordmahn; thordman; thordmun; thortmahn; thortman; thortmun; thotmahn; thotman; thotmun; todmahn; todman; todmun; tohdmahn; tohdman; tohdmun; tohtmahn; tohtman; tohtmun; tordmahn; tordman; tordmun; tortmahn; tortman; tortmun; totmahn; totman; totmun
3172,วิทยา,3,64,compound,medium,[w/i/t] | [th/a/] | [j/aa/],witthaya,vidtahya; vidtahyaa; vidtahyah; vidtahyar; vidtaya; vidtayaa; vidtayah; vidtayar; vidthahya; vidthahyaa; vidthahyah; vidthahyar; vidthaya; vidthayaa; vidthayah; vidthayar; vittahya; vittahyaa; vittahyah; vittahyar; vittaya; vittayaa; vittayah; vittayar; vitthahya; vitthahyaa; vitthahyah; vitthahyar; vitthaya; vitthayaa; vitthayah; vitthayar; widtahya; widtahyaa; widtahyah; widtahyar; widtaya; widtayaa; widtayah; widtayar; widthahya; widthahyaa; widthahyah; widthahyar; widthaya; widthayaa; widthayah; widthayar; wittahya; wittahyaa
3195,พลเรือน,3,24,compound,medium,[ph/o/n] | [l/a/] | [r/UUa/n],phonlaruean,phohnlahreuan; phohnlahrueaan; phohnlahruean; phohnlareuan; phohnlarueaan; phohnlaruean; phonlahreuan; phonlahrueaan; phonlahruean; phonlareuan; phonlarueaan; phonlaruean; pohnlahreuan; pohnlahrueaan; pohnlahruean; pohnlareuan; pohnlarueaan; pohnlaruean; ponlahreuan; ponlahrueaan; ponlahruean; ponlareuan; ponlarueaan; ponlaruean
3203,ฮิต,1,2,common,easy,[h/i/t],hit,hid; hit
3212,มิใช่,2,6,common,easy,[m/i/] | [ch/aj/],michai,michaai; michai; michaii; mishaai; mishai; mishaii
3355,ยาย,1,2,common,easy,[j/aa/j],yai,yaai; yai
3410,การสำรวจ,3,100,compound,medium,[k/aa/n] | [s/a/m] | [r/ua/c],kansamruat,gaansahmruaad; gaansahmruaaj; gaansahmruaat; gaansahmruad; gaansahmruaj; gaansahmruat; gaansamruaad; gaansamruaaj; gaansamruaat; gaansamruad; gaansamruaj; gaansamruat; gaansumruaad; gaansumruaaj; gaansumruaat; gaansumruad; gaansumruaj; gaansumruat; gahnsahmruaad; gahnsahmruaaj; gahnsahmruaat; gahnsahmruad; gahnsahmruaj; gahnsahmruat; gahnsamruaad; gahnsamruaaj; gahnsamruaat; gahnsamruad; gahnsamruaj; gahnsamruat; gahnsumruaad; gahnsumruaaj; gahnsumruaat; gahnsumruad; gahnsumruaj; gahnsumruat; gansahmruaad; gansahmruaaj; gansahmruaat; gansahmruad; gansahmruaj; gansahmruat; gansamruaad; gansamruaaj; gansamruaat; gansamruad; gansamruaj; gansamruat; gansumruaad; gansumruaaj
3425,ศรีราชา,3,96,compound,medium,[s/ii/] | [r/aa/] | [ch/aa/],siracha,seeraacha; seeraachaa; seeraachah; seeraachar; seeraasha; seeraashaa; seeraashah; seeraashar; seeracha; seerachaa; seerachah; seerachar; seerahcha; seerahchaa; seerahchah; seerahchar; seerahsha; seerahshaa; seerahshah; seerahshar; seerarcha; seerarchaa; seerarchah; seerarchar; seerarsha; seerarshaa; seerarshah; seerarshar; seerasha; seerashaa; seerashah; seerashar; siiraacha; siiraachaa; siiraachah; siiraachar; siiraasha; siiraashaa; siiraashah; siiraashar; siiracha; siirachaa; siirachah; siirachar; siirahcha; siirahchaa; siirahchah; siirahchar; siirahsha; siirahshaa
3427,เหมืองแร่,2,12,variant,medium,[mh/UUa/N] | [r/xx/],mueangrae,meuangraae; meuangrae; mheuangraae; mheuangrae; mhueaangraae; mhueaangrae; mhueangraae; mhueangrae; mueaangraae; mueaangrae; mueangraae; mueangrae
3456,กะเพรา,2,48,variant,medium,[k/a/] | [phr/aw/],kaphrao,gahphraao; gahphrao; gahphraow; gahphrau; gahphraw; gahphrow; gahpraao; gahprao; gahpraow; gahprau; gahpraw; gahprow; gaphraao; gaphrao; gaphraow; gaphrau; gaphraw; gaphrow; gapraao; gaprao; gapraow; gaprau; gapraw; gaprow; kahphraao; kahphrao; kahphraow; kahphrau; kahphraw; kahphrow; kahpraao; kahprao; kahpraow; kahprau; kahpraw; kahprow; kaphraao; kaphrao; kaphraow; kaphrau; kaphraw; kaphrow; kapraao; kaprao; kapraow; kaprau; kapraw; kaprow
3473,เสียภาษี,3,72,compound,medium,[s/iia/] | [ph/aa/] | [s/ii/],siaphasi,seapaasee; seapaasi; seapaasii; seapahsee; seapahsi; seapahsii; seaparsee; seaparsi; seaparsii; seapasee; seapasi; seapasii; seaphaasee; seaphaasi; seaphaasii; seaphahsee; seaphahsi; seaphahsii; seapharsee; seapharsi; seapharsii; seaphasee; seaphasi; seaphasii; siapaasee; siapaasi; siapaasii; siapahsee; siapahsi; siapahsii; siaparsee; siaparsi; siaparsii; siapasee; siapasi; siapasii; siaphaasee; siaphaasi; siaphaasii; siaphahsee; siaphahsi; siaphahsii; siapharsee; siapharsi; siapharsii; siaphasee; siaphasi; siaphasii; siiapaasee; siiapaasi
3492,ปัด,1,12,variant,easy,[p/a/t],pat,bpad; bpahd; bpaht; bpat; bpud; bput; pad; pahd; paht; pat; pud; put
3499,ฟิลิปปินส์,3,4,compound,medium,[f/i/] | [l/i/p] | [p/i/n],filippin,filibbpin; filibpin; filipbpin; filippin
3501,ปราศรัย,2,12,variant,medium,[pr/aa/] | [s/aj/],prasai,praasaai; praasai; praasaii; prahsaai; prahsai; prahsaii; prarsaai; prarsai; prarsaii; prasaai; prasai; prasaii
3508,ประสาท,2,16,variant,medium,[pr/a/] | [s/aa/t],prasat,prahsaad; prahsaat; prahsad; prahsahd; prahsaht; prahsard; prahsart; prahsat; prasaad; prasaat; prasad; prasahd; prasaht; prasard; prasart; prasat
3530,ไฮบริด,3,12,compound,medium,[h/aj/] | [b/a/] | [r/i/t],haibarit,haaibahrid; haaibahrit; haaibarid; haaibarit; haibahrid; haibahrit; haibarid; haibarit; haiibahrid; haiibahrit; haiibarid; haiibarit
3545,กระทั่ง,2,24,variant,medium,[kr/a/] | [th/a/N],krathang,grahtahng; grahtang; grahthahng; grahthang; grahthung; grahtung; gratahng; gratang; grathahng; grathang; grathung; gratung; krahtahng; krahtang; krahthahng; krahthang; krahthung; krahtung; kratahng; kratang; krathahng; krathang; krathung; kratung
3610,เพียว,1,10,common,medium,[ph/iiaw/],phiao,peao; peaw; pheao; pheaw; phiao; phiaw; phiew; piao; piaw; piew
3626,สระบุรี,4,24,compound,hard,[s/a/] | [r/a/] | [b/u/] | [r/ii/],saraburi,sahrabooree; sahraboori; sahraboorii; sahraburee; sahraburi; sahraburii; sahrahbooree; sahrahboori; sahrahboorii; sahrahburee; sahrahburi; sahrahburii; sarabooree; saraboori; saraboorii; saraburee; saraburi; saraburii; sarahbooree; sarahboori; sarahboorii; sarahburee; sarahburi; sarahburii
3739,ว่าไม่ได้,3,48,compound,medium,[w/aa/] | [m/aj/] | [d/aa/j],wamaidai,vaamaaidaai; vaamaaidai; vaamaidaai; vaamaidai; vaamaiidaai; vaamaiidai; vahmaaidaai; vahmaaidai; vahmaidaai; vahmaidai; vahmaiidaai; vahmaiidai; vamaaidaai; vamaaidai; vamaidaai; vamaidai; vamaiidaai; vamaiidai; varmaaidaai; varmaaidai; varmaidaai; varmaidai; varmaiidaai; varmaiidai; waamaaidaai; waamaaidai; waamaidaai; waamaidai; waamaiidaai; waamaiidai; wahmaaidaai; wahmaaidai; wahmaidaai; wahmaidai; wahmaiidaai; wahmaiidai; wamaaidaai; wamaaidai; wamaidaai; wamaidai; wamaiidaai; wamaiidai; warmaaidaai; warmaaidai; warmaidaai; warmaidai; warmaiidaai; warmaiidai
3756,สะเต๊ะ,2,4,common,easy,[s/a/] | [t/e/],sate,sadte; sahdte; sahte; sate
3852,ดูจะ,2,16,variant,medium,[d/uu/] | [c/a/],ducha,doocha; doochah; dooja; doojah; doucha; douchah; douja; doujah; ducha; duchah; duja; dujah; duucha; duuchah; duuja; duujah
3976,ค้าน,1,8,common,medium,[kh/aa/n],khan,kaan; kahn; kan; karn; khaan; khahn; khan; kharn
4038,เว้น,1,10,common,easy,[w/ee/n],wen,vaen; vayn; veen; vehn; ven; waen; wayn; ween; wehn; wen
4114,เท็จ,1,6,common,medium,[th/e/c],thet,ted; tej; tet; thed; thej; thet
4117,ความไม่พอใจ,4,100,compound,hard,[khw/aa/m] | [m/aj/] | [ph/OO/] | [c/aj/],khwammaiphochai,khwaammaaipawchaai; khwaammaaipawchai; khwaammaaipawchaii; khwaammaaipawjaai; khwaammaaipawjai; khwaammaaipawjaii; khwaammaaiphawchaai; khwaammaaiphawchai; khwaammaaiphawchaii; khwaammaaiphawjaai; khwaammaaiphawjai; khwaammaaiphawjaii; khwaammaaiphochaai; khwaammaaiphochai; khwaammaaiphochaii; khwaammaaiphohchaai; khwaammaaiphohchai; khwaammaaiphohchaii; khwaammaaiphohjaai; khwaammaaiphohjai; khwaammaaiphohjaii; khwaammaaiphojaai; khwaammaaiphojai; khwaammaaiphojaii; khwaammaaiphorchaai; khwaammaaiphorchai; khwaammaaiphorchaii; khwaammaaiphorjaai; khwaammaaiphorjai; khwaammaaiphorjaii; khwaammaaipochaai; khwaammaaipochai; khwaammaaipochaii; khwaammaaipohchaai; khwaammaaipohchai; khwaammaaipohchaii; khwaammaaipohjaai; khwaammaaipohjai; khwaammaaipohjaii; khwaammaaipojaai; khwaammaaipojai; khwaammaaipojaii; khwaammaaiporchaai; khwaammaaiporchai; khwaammaaiporchaii; khwaammaaiporjaai; khwaammaaiporjai; khwaammaaiporjaii; khwaammaiipawchaai; khwaammaiipawchai
4182,รำลึก,2,18,variant,medium,[r/a/m] | [l/U/k],ramluek,rahmleug; rahmleuk; rahmlueg; rahmluek; rahmluhg; rahmluhk; ramleug; ramleuk; ramlueg; ramluek; ramluhg; ramluhk; rumleug; rumleuk; rumlueg; rumluek; rumluhg; rumluhk
4209,ผู้ใช้แรงงาน,4,100,compound,hard,[ph/uu/] | [ch/aj/] | [r/xx/N] | [N/aa/n],phuchairaengngan,phoochaairaaengngaan; phoochaairaaengngahn; phoochaairaaengngan; phoochaairaaengngarn; phoochaairaengngaan; phoochaairaengngahn; phoochaairaengngan; phoochaairaengngarn; phoochaiiraaengngaan; phoochaiiraaengngahn; phoochaiiraaengngan; phoochaiiraaengngarn; phoochaiiraengngaan; phoochaiiraengngahn; phoochaiiraengngan; phoochaiiraengngarn; phoochairaaengngaan; phoochairaaengngahn; phoochairaaengngan; phoochairaaengngarn; phoochairaengngaan; phoochairaengngahn; phoochairaengngan; phoochairaengngarn; phooshaairaaengngaan; phooshaairaaengngahn; phooshaairaaengngan; phooshaairaaengngarn; phooshaairaengngaan; phooshaairaengngahn; phooshaairaengngan; phooshaairaengngarn; phooshaiiraaengngaan; phooshaiiraaengngahn; phooshaiiraaengngan; phooshaiiraaengngarn; phooshaiiraengngaan; phooshaiiraengngahn; phooshaiiraengngan; phooshaiiraengngarn; phooshairaaengngaan; phooshairaaengngahn; phooshairaaengngan; phooshairaaengngarn; phooshairaengngaan; phooshairaengngahn; phooshairaengngan; phooshairaengngarn; phouchaairaaengngaan; phouchaairaaengngahn
4245,คำวินิจฉัย,4,100,compound,hard,[kh/a/m] | [w/i/] | [n/i/c] | [ch/aj/],khamwinitchai,kahmvinidchaai; kahmvinidchai; kahmvinidchaii; kahmvinidshaai; kahmvinidshai; kahmvinidshaii; kahmvinijchaai; kahmvinijchai; kahmvinijchaii; kahmvinijshaai; kahmvinijshai; kahmvinijshaii; kahmvinitchaai; kahmvinitchai; kahmvinitchaii; kahmvinitshaai; kahmvinitshai; kahmvinitshaii; kahmwinidchaai; kahmwinidchai; kahmwinidchaii; kahmwinidshaai; kahmwinidshai; kahmwinidshaii; kahmwinijchaai; kahmwinijchai; kahmwinijchaii; kahmwinijshaai; kahmwinijshai; kahmwinijshaii; kahmwinitchaai; kahmwinitchai; kahmwinitchaii; kahmwinitshaai; kahmwinitshai; kahmwinitshaii; kamvinidchaai; kamvinidchai; kamvinidchaii; kamvinidshaai; kamvinidshai; kamvinidshaii; kamvinijchaai; kamvinijchai; kamvinijchaii; kamvinijshaai; kamvinijshai; kamvinijshaii; kamvinitchaai; kamvinitchai
4257,ลิ้นจี่,2,6,common,easy,[l/i/n] | [c/ii/],linchi,linchee; linchi; linchii; linjee; linji; linjii
4276,เดอร์,1,5,common,easy,[d/@@/],doe,deo; der; doe; duh; dur
4358,สมูท,2,16,variant,medium,[s/a/] | [m/uu/t],samut,sahmood; sahmoot; sahmoud; sahmout; sahmud; sahmut; sahmuud; sahmuut; samood; samoot; samoud; samout; samud; samut; samuud; samuut
4370,ราวๆ,1,6,common,easy,[r/aa/w],rao rao,raao; raau; raaw; rao; rau; raw
4373,รักษาพยาบาล,5,100,compound,hard,[r/a/k] | [s/aa/] | [ph/a/] | [j/aa/] | [b/aa/n],raksaphayaban,ragsaapahyaabaan; ragsaapahyaabahn; ragsaapahyaaban; ragsaapahyaabarn; ragsaapahyabaan; ragsaapahyabahn; ragsaapahyaban; ragsaapahyabarn; ragsaapahyahbaan; ragsaapahyahbahn; ragsaapahyahban; ragsaapahyahbarn; ragsaapahyarbaan; ragsaapahyarbahn; ragsaapahyarban; ragsaapahyarbarn; ragsaapayaabaan; ragsaapayaabahn; ragsaapayaaban; ragsaapayaabarn; ragsaapayabaan; ragsaapayabahn; ragsaapayaban; ragsaapayabarn; ragsaapayahbaan; ragsaapayahbahn; ragsaapayahban; ragsaapayahbarn; ragsaapayarbaan; ragsaapayarbahn; ragsaapayarban; ragsaapayarbarn; ragsaaphahyaabaan; ragsaaphahyaabahn; ragsaaphahyaaban; ragsaaphahyaabarn; ragsaaphahyabaan; ragsaaphahyabahn; ragsaaphahyaban; ragsaaphahyabarn; ragsaaphahyahbaan; ragsaaphahyahbahn; ragsaaphahyahban; ragsaaphahyahbarn; ragsaaphahyarbaan; ragsaaphahyarbahn; ragsaaphahyarban; ragsaaphahyarbarn; ragsaaphayaabaan; ragsaaphayaabahn
4404,ภายในประเทศ,4,100,compound,hard,[ph/aa/j] | [n/aj/] | [pr/a/] | [th/ee/t],phainaiprathet,paainaaiprahtaed; paainaaiprahtaet; paainaaiprahtayd; paainaaiprahtayt; paainaaiprahted; paainaaiprahteed; paainaaiprahteet; paainaaiprahtehd; paainaaiprahteht; paainaaiprahtet; paainaaiprahthaed; paainaaiprahthaet; paainaaiprahthayd; paainaaiprahthayt; paainaaiprahthed; paainaaiprahtheed; paainaaiprahtheet; paainaaiprahthehd; paainaaiprahtheht; paainaaiprahthet; paainaaiprataed; paainaaiprataet; paainaaipratayd; paainaaipratayt; paainaaiprated; paainaaiprateed; paainaaiprateet; paainaaipratehd; paainaaiprateht; paainaaipratet; paainaaiprathaed; paainaaiprathaet; paainaaiprathayd; paainaaiprathayt; paainaaiprathed; paainaaipratheed; paainaaipratheet; paainaaiprathehd; paainaaipratheht; paainaaiprathet; paainaiiprahtaed; paainaiiprahtaet; paainaiiprahtayd; paainaiiprahtayt; paainaiiprahted; paainaiiprahteed; paainaiiprahteet; paainaiiprahtehd; paainaiiprahteht; paainaiiprahtet
4465,น้ำแกง,2,16,variant,medium,[n/aa/m] | [k/xx/N],namkaeng,naamgaaeng; naamgaeng; naamkaaeng; naamkaeng; nahmgaaeng; nahmgaeng; nahmkaaeng; nahmkaeng; namgaaeng; namgaeng; namkaaeng; namkaeng; narmgaaeng; narmgaeng; narmkaaeng; narmkaeng
4522,ไพบูลย์,2,24,variant,medium,[ph/aj/] | [b/uu/n],phaibun,paaiboon; paaiboun; paaibun; paaibuun; paiboon; paiboun; paibun; paibuun; paiiboon; paiiboun; paiibun; paiibuun; phaaiboon; phaaiboun; phaaibun; phaaibuun; phaiboon; phaiboun; phaibun; phaibuun; phaiiboon; phaiiboun; phaiibun; phaiibuun
4556,รถตู้,2,32,variant,medium,[r/o/t] | [t/uu/],rottu,roddtoo; roddtou; roddtu; roddtuu; rodtoo; rodtou; rodtu; rodtuu; rohddtoo; rohddtou; rohddtu; rohddtuu; rohdtoo; rohdtou; rohdtu; rohdtuu; rohtdtoo; rohtdtou; rohtdtu; rohtdtuu; rohttoo; rohttou; rohttu; rohttuu; rotdtoo; rotdtou; rotdtu; rotdtuu; rottoo; rottou; rottu; rottuu
4565,กรุ๊ป,2,16,variant,medium,[k/a/] | [r/u/p],karup,gahroob; gahroop; gahrub; gahrup; garoob; garoop; garub; garup; kahroob; kahroop; kahrub; kahrup; karoob; karoop; karub; karup
4611,เลว,1,12,variant,easy,[l/ee/w],leo,laeo; laeu; laew; layo; layu; layw; leeo; leeu; leew; leo; leu; lew
4702,รองประธาน,3,64,compound,medium,[r/OO/N] | [pr/a/] | [th/aa/n],rongprathan,rawngprahtaan; rawngprahtahn; rawngprahtan; rawngprahtarn; rawngprahthaan; rawngprahthahn; rawngprahthan; rawngprahtharn; rawngprataan; rawngpratahn; rawngpratan; rawngpratarn; rawngprathaan; rawngprathahn; rawngprathan; rawngpratharn; rohngprahtaan; rohngprahtahn; rohngprahtan; rohngprahtarn; rohngprahthaan; rohngprahthahn; rohngprahthan; rohngprahtharn; rohngprataan; rohngpratahn; rohngpratan; rohngpratarn; rohngprathaan; rohngprathahn; rohngprathan; rohngpratharn; rongprahtaan; rongprahtahn; rongprahtan; rongprahtarn; rongprahthaan; rongprahthahn; rongprahthan; rongprahtharn; rongprataan; rongpratahn; rongpratan; rongpratarn; rongprathaan; rongprathahn; rongprathan; rongpratharn; rorngprahtaan; rorngprahtahn
4705,กาด,1,16,variant,easy,[k/aa/t],kat,gaad; gaat; gad; gahd; gaht; gard; gart; gat; kaad; kaat; kad; kahd; kaht; kard; kart; kat
4720,ขั้ว,1,4,common,easy,[kh/ua/],khua,khua; khuaa; kua; kuaa
4722,สิ้นปี,2,6,common,easy,[s/i/n] | [p/ii/],sinpi,sinbpee; sinbpi; sinbpii; sinpee; sinpi; sinpii
4748,เข้มงวด,2,40,variant,medium,[kh/ee/m] | [N/ua/t],khemnguat,kaemnguaad; kaemnguaat; kaemnguad; kaemnguat; kaymnguaad; kaymnguaat; kaymnguad; kaymnguat; keemnguaad; keemnguaat; keemnguad; keemnguat; kehmnguaad; kehmnguaat; kehmnguad; kehmnguat; kemnguaad; kemnguaat; kemnguad; kemnguat; khaemnguaad; khaemnguaat; khaemnguad; khaemnguat; khaymnguaad; khaymnguaat; khaymnguad; khaymnguat; kheemnguaad; kheemnguaat; kheemnguad; kheemnguat; khehmnguaad; khehmnguaat; khehmnguad; khehmnguat; khemnguaad; khemnguaat; khemnguad; khemnguat
4768,การ์ตูน,2,64,variant,medium,[k/aa/] | [t/uu/n],katun,gaadtoon; gaadtoun; gaadtun; gaadtuun; gaatoon; gaatoun; gaatun; gaatuun; gadtoon; gadtoun; gadtun; gadtuun; gahdtoon; gahdtoun; gahdtun; gahdtuun; gahtoon; gahtoun; gahtun; gahtuun; gardtoon; gardtoun; gardtun; gardtuun; gartoon; gartoun; gartun; gartuun; gatoon; gatoun; gatun; gatuun; kaadtoon; kaadtoun; kaadtun; kaadtuun; kaatoon; kaatoun; kaatun; kaatuun; kadtoon; kadtoun; kadtun; kadtuun; kahdtoon; kahdtoun; kahdtun; kahdtuun; kahtoon; kahtoun
4907,คำนวณ,2,12,variant,medium,[kh/a/m] | [n/ua/n],khamnuan,kahmnuaan; kahmnuan; kamnuaan; kamnuan; khahmnuaan; khahmnuan; khamnuaan; khamnuan; khumnuaan; khumnuan; kumnuaan; kumnuan
4935,เชื่อมต่อ,2,48,variant,medium,[ch/UUa/m] | [t/OO/],chueamto,cheuamdtaw; cheuamdto; cheuamdtoh; cheuamdtor; cheuamtaw; cheuamto; cheuamtoh; cheuamtor; chueaamdtaw; chueaamdto; chueaamdtoh; chueaamdtor; chueaamtaw; chueaamto; chueaamtoh; chueaamtor; chueamdtaw; chueamdto; chueamdtoh; chueamdtor; chueamtaw; chueamto; chueamtoh; chueamtor; sheuamdtaw; sheuamdto; sheuamdtoh; sheuamdtor; sheuamtaw; sheuamto; sheuamtoh; sheuamtor; shueaamdtaw; shueaamdto; shueaamdtoh; shueaamdtor; shueaamtaw; shueaamto; shueaamtoh; shueaamtor; shueamdtaw; shueamdto; shueamdtoh; shueamdtor; shueamtaw; shueamto; shueamtoh; shueamtor
4942,น้อยที่สุด,3,48,compound,medium,[n/Oj/] | [th/ii/] | [s/u/t],noithisut,noiiteesood; noiiteesoot; noiiteesud; noiiteesut; noiitheesood; noiitheesoot; noiitheesud; noiitheesut; noiithiisood; noiithiisoot; noiithiisud; noiithiisut; noiithisood; noiithisoot; noiithisud; noiithisut; noiitiisood; noiitiisoot; noiitiisud; noiitiisut; noiitisood; noiitisoot; noiitisud; noiitisut; noiteesood; noiteesoot; noiteesud; noiteesut; noitheesood; noitheesoot; noitheesud; noitheesut; noithiisood; noithiisoot; noithiisud; noithiisut; noithisood; noithisoot; noithisud; noithisut; noitiisood; noitiisoot; noitiisud; noitiisut; noitisood; noitisoot; noitisud; noitisut
4965,บ๊วย,1,2,common,easy,[b/uaj/],buai,buai; buay
4990,น่าดู,2,16,variant,medium,[n/aa/] | [d/uu/],nadu,naadoo; naadou; naadu; naaduu; nadoo; nadou; nadu; naduu; nahdoo; nahdou; nahdu; nahduu; nardoo; nardou; nardu; narduu
5006,ต้นเดือน,2,12,variant,medium,[t/o/n] | [d/UUa/n],tonduean,dtohndeuan; dtohndueaan; dtohnduean; dtondeuan; dtondueaan; dtonduean; tohndeuan; tohndueaan; tohnduean; tondeuan; tondueaan; tonduean
5030,คลี่คลาย,2,24,variant,medium,[khl/ii/] | [khl/aa/j],khlikhlai,khleekhlaai; khleekhlai; khleeklaai; khleeklai; khliikhlaai; khliikhlai; khliiklaai; khliiklai; khlikhlaai; khlikhlai; khliklaai; khliklai; kleekhlaai; kleekhlai; kleeklaai; kleeklai; kliikhlaai; kliikhlai; kliiklaai; kliiklai; klikhlaai; klikhlai; kliklaai; kliklai
